,CaseType,CaseWorkclass,CaseStatus,IssueDate,ApplyDate,ExpireDate,FinalDate,AddressLine1,AddressLine2,AddressLine3,PostalCode,Description,Year
6451,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-07-12T10:16:10Z,2022-07-09 01:08:31.497000+00:00,2023-04-03T22:30:48Z,2022-10-05T04:00:00Z,2654,Sequoia,,48103,"17 panel roof mount on residence, grid tied",2022.0
6946,Building (Residential) - Solar - Ground,Solar - Ground/Roof,Fees Paid,,2022-07-18 20:32:36.037000+00:00,,,3108,Turnberry,,48108,Roof Mounted Solar 6.66kW 18 REC,2022.0
6961,Building (Residential) - Solar - Ground,Solar - Ground/Roof,Final,2022-07-26T11:18:55Z,2022-07-19 19:20:04.167000+00:00,2023-04-17T15:15:07Z,2022-10-20T04:00:00Z,1910,Independence,,48104,Propose to install solar panels on the existing roof of the home. All materials to be installed to manufacturer specifications per local snow and wind load.,2022.0
7053,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-07-26T11:17:26Z,2022-07-14 18:03:09.310000+00:00,2023-05-22T15:36:50Z,2022-11-24T05:00:00Z,3232,Bluett,,48105,5.76 kW Roof Mounted 16 Panel Solar Array with Backup Battery,2022.0
7059,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-07-26T11:20:17Z,2022-07-14 20:27:25.640000+00:00,2023-05-01T14:55:52Z,2022-11-02T04:00:00Z,784,Kuehnle,,48103,"Install 20 panel solar array on detached garage roof, grid tied",2022.0
7061,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-07-26T11:05:04Z,2022-07-14 22:07:39.503000+00:00,2023-07-10T13:48:51Z,2023-01-12T05:00:00Z,2021,Geddes,,48104,"Install 29-panel solar array on residence roof, grid tied",2022.0
7083,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-07-28T22:21:34Z,2022-07-15 20:08:23.147000+00:00,2023-04-03T14:25:29Z,2022-10-04T04:00:00Z,541,Ashley,,48103,"Install 20- panel solar array on residence rooftop, grid tied",2022.0
7085,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-08-11T21:37:03Z,2022-07-15 21:24:42.013000+00:00,2023-04-03T21:47:14Z,2022-10-11T18:34:32Z,3233,Lockridge,,48108,"Install 11 panel solar array on residence rooftop, grid tied",2022.0
7114,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Final,2022-08-11T21:36:10Z,2022-07-19 19:52:35.247000+00:00,2023-04-17T15:15:07Z,2022-10-14T04:00:00Z,1910,Independence,,48104,installation of solar array and connection to existing electrical system.,2022.0
7609,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-07-27T20:35:35Z,2022-07-22 21:10:35.387000+00:00,2023-09-05T16:39:27Z,2023-03-07T17:40:07Z,505,Burson,,48104,14 kW roof mount solar panels; 7.6kW & 6.0kW inverters with power optimizers,2022.0
7950,Building (Commercial) - Solar - Ground/Roof,Solar - Ground/Roof,Final,2023-03-21T17:05:49Z,2022-08-01 17:16:02.210000+00:00,2023-09-27T16:31:12Z,2023-04-01T04:00:00Z,3611,Plymouth,,48105,Ballasted roof PV solar array with 23 Jinko 410W solar modules.,2022.0
8038,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-12-01T12:14:11Z,2022-07-28 13:00:40.287000+00:00,2023-05-30T13:53:51Z,2022-12-02T05:00:00Z,1509,Warwick,,48103,roof mounted solar,2022.0
8088,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Expired,2022-08-11T21:38:05Z,2022-08-02 12:44:46.187000+00:00,2023-05-08T14:50:56Z,2023-05-08T04:00:00Z,1756,Maple,,48103,solar on roof,2022.0
8109,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Expired,2022-09-15T12:30:43Z,2022-08-03 22:36:40.550000+00:00,2023-03-14T12:30:06Z,2023-03-14T04:00:00Z,3108,Turnberry,,48108,Roof Mounted Solar 6.66kW 18 REC,2022.0
8530,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Expired,2022-09-15T12:30:43Z,2022-08-03 22:36:40.550000+00:00,2023-03-14T12:30:06Z,2023-03-14T04:00:00Z,3108,Turnberry,,48108,Roof Mounted Solar 6.66kW 18 REC,2022.0
8545,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Final,2022-08-11T21:35:23Z,2022-08-05 14:36:09.390000+00:00,2023-05-16T17:09:33Z,2023-01-10T15:51:39Z,3151,Baylis,,48108,11 panel roof mounted solar array,2022.0
